"","Ano","Estado","sigla","variavel","estim"
"1","2009",12,"AC","TFT","2.62963821681801"
"2","2009",12,"AC","RMM","41.4"
"3","2009",27,"AL","TFT","1.90949450134316"
"4","2009",27,"AL","RMM","34.3"
"5","2009",16,"AP","TFT","2.34094989448966"
"6","2009",16,"AP","RMM","37.6"
"7","2009",13,"AM","TFT","2.31718812124786"
"8","2009",13,"AM","RMM","109.9"
"9","2009",29,"BA","TFT","1.6407297412849"
"10","2009",29,"BA","RMM","101.8"
"11","2009",23,"CE","TFT","1.73800605075598"
"12","2009",23,"CE","RMM","66.2"
"13","2009",53,"DF","TFT","1.74172909091036"
"14","2009",53,"DF","RMM","67.3"
"15","2009",32,"ES","TFT","1.61999213955155"
"16","2009",32,"ES","RMM","91.3"
"17","2009",52,"GO","TFT","1.60830263872973"
"18","2009",52,"GO","RMM","50.7"
"19","2009",21,"MA","TFT","2.0210302216976"
"20","2009",21,"MA","RMM","109.7"
"21","2009",51,"MT","TFT","1.79392106486641"
"22","2009",51,"MT","RMM","85.9"
"23","2009",50,"MS","TFT","1.88719625141588"
"24","2009",50,"MS","RMM","126.7"
"25","2009",31,"MG","TFT","1.49821023083261"
"26","2009",31,"MG","RMM","52.1"
"27","2009",15,"PA","TFT","2.06240596852847"
"28","2009",15,"PA","RMM","73.2"
"29","2009",25,"PB","TFT","1.77055152099972"
"30","2009",25,"PB","RMM","64.9"
"31","2009",41,"PR","TFT","1.66619054324109"
"32","2009",41,"PR","RMM","71.7"
"33","2009",26,"PE","TFT","1.78050734132148"
"34","2009",26,"PE","RMM","62.1"
"35","2009",22,"PI","TFT","1.77413752928156"
"36","2009",22,"PI","RMM","100.1"
"37","2009",33,"RJ","TFT","1.68150638062173"
"38","2009",33,"RJ","RMM","93.7"
"39","2009",24,"RN","TFT","1.70276839539225"
"40","2009",24,"RN","RMM","63.1"
"41","2009",43,"RS","TFT","1.54522161132355"
"42","2009",43,"RS","RMM","67.3"
"43","2009",11,"RO","TFT","1.70469131768947"
"44","2009",11,"RO","RMM","97.8"
"45","2009",14,"RR","TFT","2.374377565419"
"46","2009",14,"RR","RMM","125"
"47","2009",42,"SC","TFT","1.58004736541366"
"48","2009",42,"SC","RMM","32.2"
"49","2009",35,"SP","TFT","1.67791556564375"
"50","2009",35,"SP","RMM","56.6"
"51","2009",28,"SE","TFT","1.8476412687451"
"52","2009",28,"SE","RMM","118.6"
"53","2009",17,"TO","TFT","1.9492224720991"
"54","2009",17,"TO","RMM","97"
"55","2010",12,"AC","TFT","2.51808964099861"
"56","2010",12,"AC","RMM","48.8"
"57","2010",27,"AL","TFT","1.85429841931191"
"58","2010",27,"AL","RMM","74.4"
"59","2010",16,"AP","TFT","2.39375680912339"
"60","2010",16,"AP","RMM","26.8"
"61","2010",13,"AM","TFT","2.2331931678571"
"62","2010",13,"AM","RMM","119.5"
"63","2010",29,"BA","TFT","1.59956396419188"
"64","2010",29,"BA","RMM","87.3"
"65","2010",23,"CE","TFT","1.69281951287796"
"66","2010",23,"CE","RMM","70.6"
"67","2010",53,"DF","TFT","1.721090084011"
"68","2010",53,"DF","RMM","60.7"
"69","2010",32,"ES","TFT","1.62211484778454"
"70","2010",32,"ES","RMM","65.6"
"71","2010",52,"GO","TFT","1.59496771300496"
"72","2010",52,"GO","RMM","69.1"
"73","2010",21,"MA","TFT","1.94896925082398"
"74","2010",21,"MA","RMM","133.7"
"75","2010",51,"MT","TFT","1.79850853232476"
"76","2010",51,"MT","RMM","76.9"
"77","2010",50,"MS","TFT","1.86729309471211"
"78","2010",50,"MS","RMM","113.8"
"79","2010",31,"MG","TFT","1.50950668299344"
"80","2010",31,"MG","RMM","50.5"
"81","2010",15,"PA","TFT","2.00182657630406"
"82","2010",15,"PA","RMM","69.7"
"83","2010",25,"PB","TFT","1.72677379876813"
"84","2010",25,"PB","RMM","61.8"
"85","2010",41,"PR","TFT","1.69407352628832"
"86","2010",41,"PR","RMM","65.4"
"87","2010",26,"PE","TFT","1.71083079056803"
"88","2010",26,"PE","RMM","61.9"
"89","2010",22,"PI","TFT","1.73080190362959"
"90","2010",22,"PI","RMM","125"
"91","2010",33,"RJ","TFT","1.66957903661724"
"92","2010",33,"RJ","RMM","83.6"
"93","2010",24,"RN","TFT","1.64832728805989"
"94","2010",24,"RN","RMM","36.6"
"95","2010",43,"RS","TFT","1.53966391357927"
"96","2010",43,"RS","RMM","75.6"
