UF;Grupos de idade;Mulheres;Filhos Tidos Nascidos Vivos;Filhos tidos no ultimo ano;Ano
Brasil;10 a 14 anos;8569844;40269;23134;2000
Brasil;15 a 19 anos;8921295;1661469;634306;2000
Brasil;20 a 24 anos;8094476;6407202;1005482;2000
Brasil;25 a 29 anos;7033192;10181111;752773;2000
Brasil;30 a 34 anos;6664517;13598982;476336;2000
Brasil;35 a 39 anos;6304778;15823453;248741;2000
Brasil;40 a 44 anos;5434109;16070235;75172;2000
Brasil;45 a 49 anos;4510458;15288056;12061;2000
Brasil;50 a 54 anos;3647400;14303324;3423;2000
Brasil;55 a 59 anos;2867347;13170469;2376;2000
Brasil;60 a 64 anos;2455993;12421161;0;2000
Brasil;65 a 69 anos;1948180;10303374;0;2000
Brasil;70 anos ou mais;3607185;19433468;0;2000
Rondônia;10 a 14 anos;79285;616;325;2000
Rondônia;15 a 19 anos;77280;20017;7529;2000
Rondônia;20 a 24 anos;68220;75004;10768;2000
Rondônia;25 a 29 anos;59873;113370;7040;2000
Rondônia;30 a 34 anos;53555;135715;3140;2000
Rondônia;35 a 39 anos;46607;143055;1346;2000
Rondônia;40 a 44 anos;37163;136965;363;2000
Rondônia;45 a 49 anos;28420;126918;95;2000
Rondônia;50 a 54 anos;20717;110899;29;2000
Rondônia;55 a 59 anos;15213;101689;12;2000
Rondônia;60 a 64 anos;12207;90041;0;2000
Rondônia;65 a 69 anos;7986;61968;0;2000
Rondônia;70 anos ou mais;11552;86605;0;2000
Acre;10 a 14 anos;33507;307;165;2000
Acre;15 a 19 anos;33533;12738;4256;2000
Acre;20 a 24 anos;28326;35571;5069;2000
Acre;25 a 29 anos;22460;50425;3255;2000
Acre;30 a 34 anos;19080;57089;1727;2000
Acre;35 a 39 anos;15704;57743;889;2000
Acre;40 a 44 anos;12825;54975;376;2000
Acre;45 a 49 anos;10052;50496;63;2000
Acre;50 a 54 anos;7787;46736;0;2000
Acre;55 a 59 anos;6039;43635;43;2000
Acre;60 a 64 anos;4682;34388;0;2000
Acre;65 a 69 anos;3340;26486;0;2000
Acre;70 anos ou mais;6202;48738;0;2000
Amazonas;10 a 14 anos;167581;1602;903;2000
Amazonas;15 a 19 anos;167031;51933;18425;2000
Amazonas;20 a 24 anos;145467;178895;26160;2000
Amazonas;25 a 29 anos;117598;246138;16134;2000
Amazonas;30 a 34 anos;94649;279335;8890;2000
Amazonas;35 a 39 anos;82246;296218;4461;2000
Amazonas;40 a 44 anos;65299;281733;1366;2000
Amazonas;45 a 49 anos;50079;247270;353;2000
Amazonas;50 a 54 anos;36173;198714;130;2000
Amazonas;55 a 59 anos;28193;175563;79;2000
Amazonas;60 a 64 anos;23000;152936;0;2000
Amazonas;65 a 69 anos;17718;122778;0;2000
