UF;Ano;Grupos de idade;Mulheres;SINASC
Brasil;2000;10 a 14 anos;8569844;28718
Brasil;2000;15 a 19 anos;8921295;713641
Brasil;2000;20 a 24 anos;8094476;988444
Brasil;2000;25 a 29 anos;7033192;713179
Brasil;2000;30 a 34 anos;6664517;441722
Brasil;2000;35 a 39 anos;6304778;214152
Brasil;2000;40 a 44 anos;5434109;56005
Brasil;2000;45 a 49 anos;4510458;4662
Brasil;2000;50 a 54 anos;3647400;97
Brasil;2000;55 a 59 anos;2867347;19
Brasil;2010;10 a 14 anos;8440040;27538
Brasil;2010;15 a 19 anos;8429180;532686
Brasil;2010;20 a 24 anos;8613199;788333
Brasil;2010;25 a 29 anos;8644127;727796
Brasil;2010;30 a 34 anos;8026535;514823
Brasil;2010;35 a 39 anos;7121014;243429
Brasil;2010;40 a 44 anos;6688525;60844
Brasil;2010;45 a 49 anos;6141925;4138
Brasil;2010;50 a 54 anos;5308482;273
Brasil;2010;55 a 59 anos;4371889;62
Rondônia;2000;10 a 14 anos;79285;342
Rondônia;2000;15 a 19 anos;77280;8606
Rondônia;2000;20 a 24 anos;68220;10953
Rondônia;2000;25 a 29 anos;59873;6064
Rondônia;2000;30 a 34 anos;53555;2620
Rondônia;2000;35 a 39 anos;46607;941
Rondônia;2000;40 a 44 anos;37163;271
Rondônia;2000;45 a 49 anos;28420;19
Rondônia;2000;50 a 54 anos;20717;0
Rondônia;2000;55 a 59 anos;15213;0
Rondônia;2010;10 a 14 anos;76161;286
Rondônia;2010;15 a 19 anos;77219;5964
Rondônia;2010;20 a 24 anos;74782;8380
Rondônia;2010;25 a 29 anos;73261;6817
Rondônia;2010;30 a 34 anos;66659;3631
Rondônia;2010;35 a 39 anos;58622;1361
Rondônia;2010;40 a 44 anos;51148;279
Rondônia;2010;45 a 49 anos;43496;17
Rondônia;2010;50 a 54 anos;34829;1
Rondônia;2010;55 a 59 anos;26270;2
Acre;2000;10 a 14 anos;33507;253
Acre;2000;15 a 19 anos;33533;4407
Acre;2000;20 a 24 anos;28326;4991
Acre;2000;25 a 29 anos;22460;2986
Acre;2000;30 a 34 anos;19080;1507
Acre;2000;35 a 39 anos;15704;646
Acre;2000;40 a 44 anos;12825;214
Acre;2000;45 a 49 anos;10052;23
Acre;2000;50 a 54 anos;7787;2
Acre;2000;55 a 59 anos;6039;1
Acre;2010;10 a 14 anos;43260;319
Acre;2010;15 a 19 anos;38543;4407
Acre;2010;20 a 24 anos;35147;4966
Acre;2010;25 a 29 anos;34049;3873
Acre;2010;30 a 34 anos;29977;2554
Acre;2010;35 a 39 anos;23941;1189
Acre;2010;40 a 44 anos;19988;299
Acre;2010;45 a 49 anos;15716;42
Acre;2010;50 a 54 anos;13208;4
Acre;2010;55 a 59 anos;10067;7
Amazonas;2000;10 a 14 anos;167581;967
Amazonas;2000;15 a 19 anos;167031;19055
Amazonas;2000;20 a 24 anos;145467;23375
Amazonas;2000;25 a 29 anos;117598;14152
Amazonas;2000;30 a 34 anos;94649;6859
Amazonas;2000;35 a 39 anos;82246;3097
Amazonas;2000;40 a 44 anos;65299;958
Amazonas;2000;45 a 49 anos;50079;115
Amazonas;2000;50 a 54 anos;36173;2
Amazonas;2000;55 a 59 anos;28193;0
Amazonas;2010;10 a 14 anos;197279;1285
Amazonas;2010;15 a 19 anos;182215;18198
Amazonas;2010;20 a 24 anos;169198;21675
Amazonas;2010;25 a 29 anos;162253;16742
Amazonas;2010;30 a 34 anos;143038;10285
Amazonas;2010;35 a 39 anos;115961;4536
Amazonas;2010;40 a 44 anos;93727;1163
Amazonas;2010;45 a 49 anos;77188;115
Amazonas;2010;50 a 54 anos;61295;14
Amazonas;2010;55 a 59 anos;48812;5
Roraima;2000;10 a 14 anos;18971;186
Roraima;2000;15 a 19 anos;18790;2650
Roraima;2000;20 a 24 anos;16315;2968
Roraima;2000;25 a 29 anos;13412;1969
Roraima;2000;30 a 34 anos;11571;1016
Roraima;2000;35 a 39 anos;10260;479
Roraima;2000;40 a 44 anos;7863;140
Roraima;2000;45 a 49 anos;5694;13
Roraima;2000;50 a 54 anos;4027;0
Roraima;2000;55 a 59 anos;2718;0
Roraima;2010;10 a 14 anos;25822;183
Roraima;2010;15 a 19 anos;23025;2292
Roraima;2010;20 a 24 anos;21709;2892
Roraima;2010;25 a 29 anos;21721;2308
Roraima;2010;30 a 34 anos;18627;1373
Roraima;2010;35 a 39 anos;14801;590
Roraima;2010;40 a 44 anos;12299;160
Roraima;2010;45 a 49 anos;10298;12
Roraima;2010;50 a 54 anos;7972;2
Roraima;2010;55 a 59 anos;6218;0
Pará;2000;10 a 14 anos;372874;1843
Pará;2000;15 a 19 anos;364701;39594
Pará;2000;20 a 24 anos;306549;46232
Pará;2000;25 a 29 anos;249628;24735
Pará;2000;30 a 34 anos;212873;11422
Pará;2000;35 a 39 anos;180256;5066
Pará;2000;40 a 44 anos;150228;1612
Pará;2000;45 a 49 anos;119116;196
Pará;2000;50 a 54 anos;91464;4
Pará;2000;55 a 59 anos;73802;1
Pará;2010;10 a 14 anos;410664;2249
Pará;2010;15 a 19 anos;390372;36090
Pará;2010;20 a 24 anos;373533;45040
Pará;2010;25 a 29 anos;354521;30851
Pará;2010;30 a 34 anos;307276;15862
Pará;2010;35 a 39 anos;254986;6434
Pará;2010;40 a 44 anos;213632;1793
Pará;2010;45 a 49 anos;174191;146
Pará;2010;50 a 54 anos;144830;20
Pará;2010;55 a 59 anos;116531;2
Amapá;2000;10 a 14 anos;29271;216
Amapá;2000;15 a 19 anos;29265;3685
Amapá;2000;20 a 24 anos;25339;4678
Amapá;2000;25 a 29 anos;20916;3068
Amapá;2000;30 a 34 anos;17131;1527
Amapá;2000;35 a 39 anos;13784;708
Amapá;2000;40 a 44 anos;10661;200
Amapá;2000;45 a 49 anos;7943;32
Amapá;2000;50 a 54 anos;5363;0
Amapá;2000;55 a 59 anos;4521;0
Amapá;2010;10 a 14 anos;39262;270
Amapá;2010;15 a 19 anos;36714;3869
Amapá;2010;20 a 24 anos;34442;4635
Amapá;2010;25 a 29 anos;32686;3676
Amapá;2010;30 a 34 anos;28205;2197
