UF;Ano;Idade;Mulheres;Filhos tidos no ultimo ano
Brasil;2011;10 a 14 anos;8453733;27537,66181
Brasil;2011;15 a 19 anos;8445364;532686,146
Brasil;2011;20 a 24 anos;8512579;788332,5734
Brasil;2011;25 a 29 anos;8870281;727795,9202
Brasil;2011;30 a 34 anos;8217132;514823,068
Brasil;2011;35 a 39 anos;7262540;243428,6902
Brasil;2011;40 a 44 anos;6690610;60843,67173
Brasil;2011;45 a 49 anos;6248398;4138,24973
Brasil;2011;50 a 54 anos;5431370;273,0164757
Brasil;2011;55 a 59 anos;4478153;42,00253472
Brasil;2018;10 a 14 anos;7938241;21498,40821
Brasil;2018;15 a 19 anos;8394229;445305,4553
Brasil;2018;20 a 24 anos;8416472;729057,8431
Brasil;2018;25 a 29 anos;8435486;700580,3024
Brasil;2018;30 a 34 anos;8685280;608677,5574
Brasil;2018;35 a 39 anos;8559587;356535,7698
Brasil;2018;40 a 44 anos;7541101;82517,56682
Brasil;2018;45 a 49 anos;6762076;4774,090649
Brasil;2018;50 a 54 anos;6287407;291,0055255
Brasil;2018;55 a 59 anos;5607955;42,0007975
Rondônia;2011;10 a 14 anos;78423;284
Rondônia;2011;15 a 19 anos;80427;5959
Rondônia;2011;20 a 24 anos;80056;8360
Rondônia;2011;25 a 29 anos;79794;6820
Rondônia;2011;30 a 34 anos;71024;3630
Rondônia;2011;35 a 39 anos;62013;1365
Rondônia;2011;40 a 44 anos;54961;284
Rondônia;2011;45 a 49 anos;47072;18
Rondônia;2011;50 a 54 anos;36987;1
Rondônia;2011;55 a 59 anos;27940;1
Rondônia;2018;10 a 14 anos;75795;223
Rondônia;2018;15 a 19 anos;78858;4767
Rondônia;2018;20 a 24 anos;79747;7878
Rondônia;2018;25 a 29 anos;81849;6974
Rondônia;2018;30 a 34 anos;80852;5046
Rondônia;2018;35 a 39 anos;75295;2393
Rondônia;2018;40 a 44 anos;64836;435
Rondônia;2018;45 a 49 anos;56881;34
Rondônia;2018;50 a 54 anos;48476;0
Rondônia;2018;55 a 59 anos;38966;2
Acre;2011;10 a 14 anos;41874;304,1064302
