UF;Ano;Pop
Brasil;2000;169799170
Brasil;2001;172385826
Brasil;2002;174632960
Brasil;2003;176871437
Brasil;2004;181569056
Brasil;2005;184184264
Brasil;2006;186770562
Brasil;2008;189605006
Brasil;2009;191480630
Brasil;2010;194890682
Brasil;2011;196603732
Brasil;2012;198314934
Brasil;2013;200004188
Brasil;2014;201717541
Brasil;2015;203475683
Brasil;2016;205156587
Brasil;2017;206804741
Brasil;2018;208494900
Brasil;2019;210147125
Brasil;2020;211755692
Brasil;2021;213317639
Brasil;2022;214828540
Brasil;2023;216284269
Brasil;2024;217684462
Brasil;2025;219029093
Brasil;2026;220316530
Brasil;2027;221545234
Brasil;2028;222713669
Brasil;2029;223821305
Brasil;2030;224868462
Rondônia;2000;1379787
Rondônia;2001;1407886
Rondônia;2002;1431777
Rondônia;2003;1455907
Rondônia;2004;1562085
Rondônia;2005;1534594
Rondônia;2006;1562417
Rondônia;2008;1493565
Rondônia;2009;1503928
Rondônia;2010;1598634
Rondônia;2011;1618210
Rondônia;2012;1637884
Rondônia;2013;1657620
Rondônia;2014;1677766
Rondônia;2015;1698263
Rondônia;2016;1717911
Rondônia;2017;1737578
Rondônia;2018;1757589
Rondônia;2019;1777225
Rondônia;2020;1796460
Rondônia;2021;1815278
Rondônia;2022;1833642
Rondônia;2023;1851491
Rondônia;2024;1868787
Rondônia;2025;1885507
Rondônia;2026;1901627
Rondônia;2027;1917130
Rondônia;2028;1932010
Rondônia;2029;1946272
Rondônia;2030;1959925
Acre;2000;557526
Acre;2001;574355
Acre;2002;586942
Acre;2003;600595
Acre;2004;630328
Acre;2005;669736
Acre;2006;686652
Acre;2008;680075
Acre;2009;691132
Acre;2010;765325
Acre;2011;778499
Acre;2012;792045
Acre;2013;805014
Acre;2014;818273
Acre;2015;831665
Acre;2016;844137
Acre;2017;856457
Acre;2018;869265
Acre;2019;881935
Acre;2020;894470
Acre;2021;906876
Acre;2022;919145
Acre;2023;931268
Acre;2024;943235
Acre;2025;955012
Acre;2026;966579
Acre;2027;977945
Acre;2028;989104
Acre;2029;1000048
Acre;2030;1010772
Amazonas;2000;2812557
Amazonas;2001;2900240
Amazonas;2002;2961801
Amazonas;2003;3031068
Amazonas;2004;3138726
Amazonas;2005;3232330
Amazonas;2006;3311026
Amazonas;2008;3341094
Amazonas;2009;3393369
Amazonas;2010;3553148
Amazonas;2011;3618040
Amazonas;2012;3684326
Amazonas;2013;3751293
Amazonas;2014;3819636
Amazonas;2015;3887740
Amazonas;2016;3952171
Amazonas;2017;4015812
Amazonas;2018;4080611
Amazonas;2019;4144597
Amazonas;2020;4207714
Amazonas;2021;4269995
Amazonas;2022;4331430
Amazonas;2023;4391960
Amazonas;2024;4451551
Amazonas;2025;4510151
Amazonas;2026;4567703
Amazonas;2027;4624211
Amazonas;2028;4679714
Amazonas;2029;4734251
Amazonas;2030;4787816
Roraima;2000;324397
Roraima;2001;337237
Roraima;2002;346871
Roraima;2003;357302
Roraima;2004;381896
Roraima;2005;391317
Roraima;2006;403344
Roraima;2008;412783
Roraima;2009;421499
Roraima;2010;458820
Roraima;2011;469543
Roraima;2012;480290
Roraima;2013;491066
Roraima;2014;501970
Roraima;2015;513328
Roraima;2016;525967
Roraima;2017;546885
Roraima;2018;576568
Roraima;2019;605761
Roraima;2020;631181
Roraima;2021;652713
Roraima;2022;670267
Roraima;2023;683769
Roraima;2024;695116
Roraima;2025;706235
Roraima;2026;717117
Roraima;2027;727762
Roraima;2028;738175
Roraima;2029;748361
Roraima;2030;758323
Pará;2000;6192307
Pará;2001;6341736
Pará;2002;6453683
Pará;2003;6574993
Pará;2004;6850181
Pará;2005;6970586
Pará;2006;7110465
Pará;2008;7321490
Pará;2009;7431020
Pará;2010;7762953
Pará;2011;7862943
Pará;2012;7960134
Pará;2013;8054419
Pará;2014;8149418
Pará;2015;8244575
Pará;2016;8334346
Pará;2017;8422634
Pará;2018;8513497
Pará;2019;8602865
Pará;2020;8690745
Pará;2021;8777124
Pará;2022;8861974
Pará;2023;8945219
Pará;2024;9026771
Pará;2025;9106465
Pará;2026;9184171
Pará;2027;9259811
Pará;2028;9333294
Pará;2029;9404564
Pará;2030;9473593
Amapá;2000;477032
Amapá;2001;498735
Amapá;2002;516511
Amapá;2003;534835
Amapá;2004;547400
Amapá;2005;594587
Amapá;2006;615715
Amapá;2008;613166
Amapá;2009;626609
Amapá;2010;694261
Amapá;2011;711453
Amapá;2012;728015
Amapá;2013;744809
Amapá;2014;762156
Amapá;2015;779416
Amapá;2016;796419
Amapá;2017;813084
Amapá;2018;829494
Amapá;2019;845731
Amapá;2020;861773
Amapá;2021;877613
Amapá;2022;893253
Amapá;2023;908689
Amapá;2024;923930
Amapá;2025;938973
Amapá;2026;953802
Amapá;2027;968401
Amapá;2028;982762
Amapá;2029;996900
Amapá;2030;1010824
Tocantins;2000;1157098
Tocantins;2001;1184895
Tocantins;2002;1207014
Tocantins;2003;1230181
Tocantins;2004;1262644
Tocantins;2005;1305728
Tocantins;2006;1332441
Tocantins;2008;1280513
Tocantins;2009;1292051
Tocantins;2010;1412989
Tocantins;2011;1431478
Tocantins;2012;1449779
Tocantins;2013;1467474
Tocantins;2014;1485318
Tocantins;2015;1503482
Tocantins;2016;1520448
Tocantins;2017;1537350
Tocantins;2018;1555229
Tocantins;2019;1572866
Tocantins;2020;1590248
Tocantins;2021;1607363
Tocantins;2022;1624183
Tocantins;2023;1640666
Tocantins;2024;1656791
Tocantins;2025;1672538
Tocantins;2026;1687892
Tocantins;2027;1702843
Tocantins;2028;1717358
Tocantins;2029;1731421
Tocantins;2030;1745035
Maranhão;2000;5651475
Maranhão;2001;5730467
Maranhão;2002;5803224
Maranhão;2003;5873655
Maranhão;2004;6021504
Maranhão;2005;6103327
Maranhão;2006;6184538
Maranhão;2008;6305537
Maranhão;2009;6367138
Maranhão;2010;6710964
Maranhão;2011;6757213
Maranhão;2012;6798830
Maranhão;2013;6836179
Maranhão;2014;6875302
Maranhão;2015;6916244
Maranhão;2016;6955099
Maranhão;2017;6994148
Maranhão;2018;7035055
Maranhão;2019;7075181
Maranhão;2020;7114598
Maranhão;2021;7153262
Maranhão;2022;7191041
Maranhão;2023;7227850
Maranhão;2024;7263617
Maranhão;2025;7298196
Maranhão;2026;7331577
Maranhão;2027;7363722
Maranhão;2028;7394457
Maranhão;2029;7423684
Maranhão;2030;7451435
Piauí;2000;2843278
Piauí;2001;2873010
Piauí;2002;2898223
Piauí;2003;2923725
Piauí;2004;2974698
Piauí;2005;3006885
Piauí;2006;3036290
Piauí;2008;3111881
Piauí;2009;3145325
Piauí;2010;3192643
Piauí;2011;3202880
Piauí;2012;3212635
Piauí;2013;3220646
Piauí;2014;3228556
Piauí;2015;3237691
Piauí;2016;3246228
Piauí;2017;3254626
Piauí;2018;3263754
Piauí;2019;3272447
Piauí;2020;3280697
Piauí;2021;3288504
Piauí;2022;3295812
Piauí;2023;3302519
Piauí;2024;3308547
Piauí;2025;3313867
Piauí;2026;3318480
Piauí;2027;3322378
Piauí;2028;3325518
Piauí;2029;3327868
Piauí;2030;3329443
Ceará;2000;7430661
Ceará;2001;7547620
Ceará;2002;7654535
Ceará;2003;7758441
Ceará;2004;7976563
Ceará;2005;8097276
Ceará;2006;8217085
Ceará;2008;8450528
Ceará;2009;8547809
Ceará;2010;8623766
Ceará;2011;8681591
Ceará;2012;8738045
Ceará;2013;8792607
Ceará;2014;8847031
Ceará;2015;8905267
Ceará;2016;8962834
Ceará;2017;9018764
Ceará;2018;9076426
Ceará;2019;9132858
Ceará;2020;9187886
Ceará;2021;9241366
Ceará;2022;9293112
Ceará;2023;9342908
Ceará;2024;9390560
Ceará;2025;9435907
Ceará;2026;9478838
Ceará;2027;9519244
Ceará;2028;9557007
Ceará;2029;9592073
Ceará;2030;9624466
Rio Grande do Norte;2000;2776782
Rio Grande do Norte;2001;2815244
Rio Grande do Norte;2002;2852784
Rio Grande do Norte;2003;2888058
Rio Grande do Norte;2004;2962107
Rio Grande do Norte;2005;3003087
Rio Grande do Norte;2006;3043760
Rio Grande do Norte;2008;3106436
Rio Grande do Norte;2009;3137541
Rio Grande do Norte;2010;3239939
Rio Grande do Norte;2011;3271415
Rio Grande do Norte;2012;3302720
Rio Grande do Norte;2013;3332952
Rio Grande do Norte;2014;3363084
Rio Grande do Norte;2015;3393814
Rio Grande do Norte;2016;3422843
Rio Grande do Norte;2017;3450669
Rio Grande do Norte;2018;3479010
Rio Grande do Norte;2019;3506853
Rio Grande do Norte;2020;3534165
Rio Grande do Norte;2021;3560903
Rio Grande do Norte;2022;3586972
Rio Grande do Norte;2023;3612280
Rio Grande do Norte;2024;3636783
Rio Grande do Norte;2025;3660428
Rio Grande do Norte;2026;3683162
Rio Grande do Norte;2027;3704935
Rio Grande do Norte;2028;3725694
Rio Grande do Norte;2029;3745416
Rio Grande do Norte;2030;3764104
Paraíba;2000;3443825
Paraíba;2001;3468594
Paraíba;2002;3494893
Paraíba;2003;3518595
Paraíba;2004;3568350
Paraíba;2005;3595886
Paraíba;2006;3623215
Paraíba;2008;3742604
Paraíba;2009;3769977
Paraíba;2010;3840796
Paraíba;2011;3859813
Paraíba;2012;3875373
Paraíba;2013;3890494
Paraíba;2014;3910059
Paraíba;2015;3932537
Paraíba;2016;3953693
Paraíba;2017;3974437
Paraíba;2018;3996496
Paraíba;2019;4018127
Paraíba;2020;4039277
Paraíba;2021;4059905
Paraíba;2022;4079917
Paraíba;2023;4099203
Paraíba;2024;4117682
Paraíba;2025;4135286
Paraíba;2026;4151945
Paraíba;2027;4167546
Paraíba;2028;4181999
Paraíba;2029;4195340
Paraíba;2030;4207657
Pernambuco;2000;7918344
Pernambuco;2001;8008207
Pernambuco;2002;8084667
Pernambuco;2003;8161862
Pernambuco;2004;8323911
Pernambuco;2005;8413593
Pernambuco;2006;8502603
Pernambuco;2008;8734196
Pernambuco;2009;8810256
Pernambuco;2010;9000873
Pernambuco;2011;9062229
Pernambuco;2012;9126434
Pernambuco;2013;9189504
Pernambuco;2014;9252442
Pernambuco;2015;9317744
Pernambuco;2016;9377368
Pernambuco;2017;9434839
Pernambuco;2018;9496735
Pernambuco;2019;9557517
Pernambuco;2020;9617072
Pernambuco;2021;9675249
Pernambuco;2022;9731843
Pernambuco;2023;9786666
Pernambuco;2024;9839619
Pernambuco;2025;9890556
Pernambuco;2026;9939342
Pernambuco;2027;9985921
Pernambuco;2028;10030223
Pernambuco;2029;10072190
Pernambuco;2030;10111808
Alagoas;2000;2822621
Alagoas;2001;2856629
Alagoas;2002;2887535
Alagoas;2003;2917664
Alagoas;2004;2980910
Alagoas;2005;3015912
Alagoas;2006;3050652
