UF;Grupos.de.idade;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Brasil;10 a 14 anos;8614988;8556415;8519877;8500653;8487543;8473701;8462615;8455516;8451680;8449676;8444955
Brasil;15 a 19 anos;8920682;8931314;8874671;8775351;8673626;8595641;8537516;8501358;8482441;8469621;8456048
Brasil;20 a 24 anos;8096049;8290221;8491484;8678036;8817740;8891746;8902838;8846836;8748274;8647312;8569968
Brasil;25 a 29 anos;7208187;7348977;7509411;7685734;7872059;8062389;8256516;8457690;8644196;8784018;8858402
Brasil;30 a 34 anos;6734234;6802684;6873000;6951985;7048780;7168663;7309699;7470243;7646554;7832802;8022996
Brasil;35 a 39 anos;6302187;6404598;6486317;6553724;6617077;6683762;6753021;6824104;6903755;7001064;7121269
Brasil;40 a 44 anos;5470281;5635784;5802880;5964531;6110186;6233784;6336998;6419703;6488222;6552657;6620367
Brasil;45 a 49 anos;4565238;4728454;4890915;5053210;5216606;5381264;5546549;5713409;5874903;6020606;6144517
Brasil;50 a 54 anos;3670106;3824613;3979913;4136228;4294715;4455852;4617999;4779466;4940806;5103257;5266965
Brasil;55 a 59 anos;2858334;2966203;3095108;3239508;3390226;3541401;3693942;3847352;4001825;4158483;4317778
Acre;10 a 14 anos;34466;34903;35561;36378;37238;38062;38855;39602;40271;40830;41217
Acre;15 a 19 anos;33798;34111;34138;34024;34006;34233;34673;35332;36149;37009;37831
Acre;20 a 24 anos;28832;29920;31043;32108;32970;33549;33862;33892;33782;33768;33995
Acre;25 a 29 anos;23580;24507;25480;26490;27533;28599;29684;30801;31862;32721;33299
Acre;30 a 34 anos;19421;20120;20831;21569;22364;23227;24148;25114;26114;27146;28201
Acre;35 a 39 anos;15810;16425;17080;17768;18463;19153;19847;20553;21286;22075;22929
Acre;40 a 44 anos;13133;13612;14084;14566;15083;15655;16274;16930;17618;18313;19004
Acre;45 a 49 anos;10406;10919;11430;11936;12434;12923;13404;13880;14362;14879;15449
Acre;50 a 54 anos;7782;8141;8574;9064;9571;10078;10585;11088;11586;12077;12560
Acre;55 a 59 anos;6326;6535;6708;6877;7088;7367;7714;8135;8606;9095;9582
Alagoas;10 a 14 anos;166926;165680;164685;163969;163514;163331;163424;163783;164454;165426;166504
Alagoas;15 a 19 anos;164079;164192;163292;161724;160049;158643;157457;156508;155821;155376;155191
Alagoas;20 a 24 anos;140684;144624;148486;151898;154326;155455;155486;154530;152921;151204;149746
Alagoas;25 a 29 anos;116923;120081;123678;127585;131594;135527;139361;143131;146473;148857;149969
Alagoas;30 a 34 anos;103932;105919;107629;109313;111354;113986;117112;120673;124543;128518;132425
Alagoas;35 a 39 anos;89615;92148;94673;97135;99454;101603;103554;105231;106886;108897;111489
Alagoas;40 a 44 anos;74720;77037;79558;82200;84835;87375;89866;92350;94773;97059;99181
Alagoas;45 a 49 anos;63358;65247;66985;68687;70531;72624;74923;77420;80036;82642;85159
Alagoas;50 a 54 anos;50773;52609;54660;56827;58954;60951;62831;64568;66270;68111;70193
Alagoas;55 a 59 anos;41523;42685;43898;45202;46649;48268;50067;52071;54186;56264;58218
Amapá;10 a 14 anos;29503;30187;31023;31985;33002;34035;35108;36223;37371;38538;39687
Amapá;15 a 19 anos;29205;29878;30297;30570;30880;31349;31956;32718;33602;34541;35495
Amapá;20 a 24 anos;25366;26518;27769;29020;30116;30965;31574;31914;32100;32322;32696
Amapá;25 a 29 anos;21862;22852;23771;24661;25599;26623;27722;28912;30090;31098;31853
Amapá;30 a 34 anos;17443;18456;19527;20621;21683;22680;23613;24469;25292;26161;27107
Amapá;35 a 39 anos;13806;14524;15277;16073;16930;17852;18828;19858;20910;21922;22869
