UF;Grupos.de.idade;2011;2012;2013;2014;2015;2016;2017;2018;2019
Brasil;10 a 14 anos;8455975;8283444;8089460;7907189;7760725;7628594;7522151;7430076;7343636
Brasil;15 a 19 anos;8545134;8570279;8598599;8595020;8538650;8440520;8268820;8075784;7894402
Brasil;20 a 24 anos;8685493;8632453;8580317;8541427;8522158;8522717;8548800;8578290;8575788
Brasil;25 a 29 anos;8794137;8796721;8774734;8740162;8701585;8657447;8606118;8556279;8519370
Brasil;30 a 34 anos;8292656;8436024;8559102;8655506;8721648;8757209;8761261;8741379;8708998
Brasil;35 a 39 anos;7360304;7533612;7724944;7914003;8086921;8245277;8389416;8513782;8611601
Brasil;40 a 44 anos;6845790;6902814;6962420;7043480;7156924;7299989;7473560;7665266;7854763
Brasil;45 a 49 anos;6337962;6440833;6533234;6616280;6691951;6760080;6818469;6879600;6961901
Brasil;50 a 54 anos;5534017;5689298;5839169;5978738;6105077;6219391;6322798;6416015;6500061
Brasil;55 a 59 anos;4590633;4749890;4909737;5069150;5227119;5383125;5537330;5686330;5825240
Acre;10 a 14 anos;44563;45159;45563;45634;45744;45714;45432;45195;44941
Acre;15 a 19 anos;39912;40871;41857;42782;43582;44339;44938;45347;45423
Acre;20 a 24 anos;35973;36492;37139;37880;38691;39572;40535;41526;42454
Acre;25 a 29 anos;34795;34928;34971;35069;35314;35697;36222;36873;37617
Acre;30 a 34 anos;31366;32282;33082;33728;34215;34532;34672;34721;34826
Acre;35 a 39 anos;25271;26440;27682;28894;29994;31003;31919;32723;33374
Acre;40 a 44 anos;20999;21670;22323;23063;23952;24974;26142;27380;28590
Acre;45 a 49 anos;16616;17430;18310;19181;19991;20745;21413;22063;22798
Acre;50 a 54 anos;13646;14060;14485;14975;15568;16262;17067;17937;18800
Acre;55 a 59 anos;10828;11297;11768;12229;12685;13123;13536;13959;14442
Alagoas;10 a 14 anos;168386;166177;162937;158858;154895;151198;147103;143739;140773
Alagoas;15 a 19 anos;160019;161932;163919;165180;165230;164195;162064;158904;154905
Alagoas;20 a 24 anos;150709;150206;149947;150202;151101;152550;154585;156691;158074
Alagoas;25 a 29 anos;143596;143779;143718;143458;143043;142610;142246;142123;142512
Alagoas;30 a 34 anos;132972;134758;136139;137214;138039;138591;138860;138888;138717
Alagoas;35 a 39 anos;115804;118753;121971;125047;127711;129984;131818;133250;134377
Alagoas;40 a 44 anos;105159;106424;107472;108816;110772;113238;116211;119451;122555
Alagoas;45 a 49 anos;89311;92432;95579;98403;100712;102543;103846;104935;106313
Alagoas;50 a 54 anos;74388;76441;78655;81086;83739;86605;89717;92855;95676
Alagoas;55 a 59 anos;62879;64438;65962;67572;69356;71285;73340;75550;77969
Amapá;10 a 14 anos;40465;40844;41100;41105;40713;40145;39709;39365;39421
Amapá;15 a 19 anos;38007;38852;39663;40364;40913;41587;41950;42188;42175
Amapá;20 a 24 anos;35618;36345;37099;37879;38681;39494;40311;41097;41774
Amapá;25 a 29 anos;33866;34563;35165;35759;36402;37082;37783;38512;39267
Amapá;30 a 34 anos;29681;30849;32016;33102;34061;34887;35566;36149;36724
Amapá;35 a 39 anos;24905;25954;26982;28026;29100;30205;31357;32510;33581
Amapá;40 a 44 anos;19664;20725;21824;22926;24016;25086;26122;27139;28170
Amapá;45 a 49 anos;15094;15894;16748;17653;18598;19589;20640;21723;22813
Amapá;50 a 54 anos;11832;12374;12930;13531;14195;14922;15708;16549;17436
Amapá;55 a 59 anos;8834;9404;9968;10522;11072;11611;12139;12679;13267
Amazonas;10 a 14 anos;200297;198589;195603;192086;190174;189040;189549;191268;194097
Amazonas;15 a 19 anos;187972;192037;195931;198715;199839;200417;198717;195740;192235
Amazonas;20 a 24 anos;173871;176392;179178;182244;185547;189137;193175;197040;199799
Amazonas;25 a 29 anos;166361;167923;169194;170641;172564;174831;177328;180092;183132
Amazonas;30 a 34 anos;149379;153621;157464;160775;163501;165665;167239;168519;169975
Amazonas;35 a 39 anos;122571;127883;133276;138488;143339;147862;152092;155933;159243
Amazonas;40 a 44 anos;98794;102789;107008;111496;116258;121274;126551;131906;137089
Amazonas;45 a 49 anos;80999;83850;86836;90056;93574;97339;101296;105479;109920
Amazonas;50 a 54 anos;65651;68299;70964;73645;76345;79097;81914;84861;88045
Amazonas;55 a 59 anos;50818;53219;55673;58171;60715;63287;65880;68492;71117
Bahia;10 a 14 anos;657348;643837;630391;616895;603945;591315;579455;567332;555724
Bahia;15 a 19 anos;665271;663740;662250;659134;653396;643974;630716;617523;604276
Bahia;20 a 24 anos;657566;650869;645950;642188;639109;636906;635848;634829;632187
Bahia;25 a 29 anos;673850;667154;657120;646433;636821;628604;622409;617986;614713
Bahia;30 a 34 anos;621602;635599;647136;654885;658109;656749;650389;640707;630364
Bahia;35 a 39 anos;524889;541765;560573;579221;596259;611798;625896;637545;645431
Bahia;40 a 44 anos;477276;481915;486191;492760;503191;516907;533790;552585;571225
Bahia;45 a 49 anos;418812;430321;441936;452345;460855;467642;472405;476810;483478
Bahia;50 a 54 anos;360177;369277;378082;387251;397149;407727;419213;430799;441199
Bahia;55 a 59 anos;295138;305833;316964;327866;338149;347866;356921;365697;374825
Ceará;10 a 14 anos;411736;398751;383913;369162;358094;350817;344672;340224;336832
Ceará;15 a 19 anos;426463;426729;426625;424077;417923;407930;395038;380297;365642
Ceará;20 a 24 anos;422918;422102;420203;418383;417291;416808;417236;417292;414909
Ceará;25 a 29 anos;390381;397147;403372;408178;411031;412158;411525;409809;408171
Ceará;30 a 34 anos;349936;356846;363452;370080;376880;383693;390546;396858;401757
Ceará;35 a 39 anos;308113;314986;322850;330900;338610;346010;352948;359587;366250
Ceará;40 a 44 anos;289112;291096;292833;295397;299456;304891;311767;319620;327661
Ceará;45 a 49 anos;261405;267726;273106;277630;281418;284408;286441;288237;290849
Ceará;50 a 54 anos;211366;220698;230565;239931;248133;255341;261632;267002;271534
Ceará;55 a 59 anos;175780;179965;184630;190271;197137;205127;214293;223977;233176
Distrito Federal;10 a 14 anos;110589;111074;111192;111026;110890;110071;108705;106746;104377
Distrito Federal;15 a 19 anos;113989;114835;115804;116661;117243;118197;118563;118559;118277
Distrito Federal;20 a 24 anos;125568;124378;123563;123178;123253;123683;124380;125194;125900
Distrito Federal;25 a 29 anos;141997;140285;137992;135701;133803;132224;130936;130027;129540
Distrito Federal;30 a 34 anos;139543;142448;144590;145786;145956;145164;143413;141082;138751
Distrito Federal;35 a 39 anos;118453;123376;128542;133378;137504;140982;143862;145982;147158
Distrito Federal;40 a 44 anos;102845;105287;107831;110854;114549;118845;123744;128882;133694
Distrito Federal;45 a 49 anos;88778;91736;94557;97276;99930;102507;104942;107477;110488
Distrito Federal;50 a 54 anos;71204;74577;78055;81468;84713;87801;90743;93551;96255
Distrito Federal;55 a 59 anos;55790;58351;60967;63724;66666;69793;73128;76569;79946
Espírito Santo;10 a 14 anos;149938;147817;145440;143211;141119;138749;136923;135590;134570
Espírito Santo;15 a 19 anos;151770;152286;153126;153559;153141;152267;150118;147712;145454
Espírito Santo;20 a 24 anos;161444;159586;157510;155819;154863;154587;155068;155867;156264
Espírito Santo;25 a 29 anos;165205;166147;166619;166510;165796;164518;162628;160519;158789
Espírito Santo;30 a 34 anos;157483;160419;162816;164824;166530;167849;168759;169201;169064
Espírito Santo;35 a 39 anos;137341;141673;146491;151144;155202;158712;161634;164019;166013
Espírito Santo;40 a 44 anos;127920;128927;130063;131797;134394;137816;142129;146925;151555
Espírito Santo;45 a 49 anos;120519;122286;123881;125320;126646;127851;128870;130014;131749
Espírito Santo;50 a 54 anos;107359;110300;113008;115465;117661;119631;121409;123016;124465
Espírito Santo;55 a 59 anos;88157;92064;95777;99301;102641;105773;108699;111396;113846
Goiás;10 a 14 anos;261037;257717;254331;250823;247912;247012;244949;243220;242508
Goiás;15 a 19 anos;269701;271334;272887;273492;272635;269201;265759;262247;258617
Goiás;20 a 24 anos;279723;280413;280760;281165;281840;282805;284230;285573;285968
Goiás;25 a 29 anos;285655;287965;289911;291569;293022;294098;294559;294682;294862
Goiás;30 a 34 anos;278364;282740;286411;289638;292599;295184;297338;299128;300628
Goiás;35 a 39 anos;250441;257608;265074;272043;278005;283107;287380;290959;294094
Goiás;40 a 44 anos;227340;231829;236160;240938;246495;252768;259838;267201;274078
Goiás;45 a 49 anos;199250;205600;211755;217555;222933;227880;232298;236562;241266
Goiás;50 a 54 anos;165617;172209;178836;185400;191835;198156;204392;210437;216137
Goiás;55 a 59 anos;132545;138315;144182;150207;156406;162737;169164;175632;182036
Maranhão;10 a 14 anos;357032;347751;342428;338992;336581;338227;340851;337686;330002
Maranhão;15 a 19 anos;344696;347163;350179;352019;351646;346429;337343;332211;328963
Maranhão;20 a 24 anos;332441;329689;326860;325002;324720;325868;328630;331936;334069
Maranhão;25 a 29 anos;309772;312784;314620;315191;314473;312815;310402;307911;306387
Maranhão;30 a 34 anos;266730;274689;281908;288232;293556;297817;300999;303020;303783
Maranhão;35 a 39 anos;215370;223701;232937;242318;251313;259877;267865;275125;281501
Maranhão;40 a 44 anos;187817;190486;193353;197302;202855;209800;218103;227297;236640
Maranhão;45 a 49 anos;163766;167746;171706;175418;178793;181877;184585;187496;191462
Maranhão;50 a 54 anos;138677;142129;145783;149530;153304;157143;161107;165052;168758
Maranhão;55 a 59 anos;117229;119833;122308;124923;127836;131004;134423;138034;141739
Mato Grosso;10 a 14 anos;137273;134886;132848;131678;131818;132799;133105;132952;132685
Mato Grosso;15 a 19 anos;141619;141283;140819;140107;139083;137171;134792;132764;131599
Mato Grosso;20 a 24 anos;142487;142707;142864;142878;142700;142399;142052;141580;140859
Mato Grosso;25 a 29 anos;142762;143324;143610;143811;144044;144268;144466;144598;144588
Mato Grosso;30 a 34 anos;135838;137917;139714;141240;142515;143471;144023;144303;144496
Mato Grosso;35 a 39 anos;120814;123965;127215;130266;132928;135275;137358;139158;140692
Mato Grosso;40 a 44 anos;108007;110154;112253;114537;117130;119991;123134;126375;129418
Mato Grosso;45 a 49 anos;93565;96464;99240;101873;104364;106703;108848;110946;113227
Mato Grosso;50 a 54 anos;75919;79258;82572;85797;88895;91877;94752;97505;100120
Mato Grosso;55 a 59 anos;58110;61120;64223;67399;70626;73889;77173;80432;83603
Mato Grosso do Sul;10 a 14 anos;108542;105991;103907;102428;101416;100980;100317;99778;99569
Mato Grosso do Sul;15 a 19 anos;113334;113057;112496;111605;110382;108362;105822;103748;102280
Mato Grosso do Sul;20 a 24 anos;110606;111414;112335;113050;113339;113314;113043;112486;111598
Mato Grosso do Sul;25 a 29 anos;111097;111039;110695;110484;110669;111159;111961;112876;113584
Mato Grosso do Sul;30 a 34 anos;104826;106942;108880;110413;111411;111899;111836;111485;111268
Mato Grosso do Sul;35 a 39 anos;95042;96918;98946;101056;103192;105319;107421;109351;110872
Mato Grosso do Sul;40 a 44 anos;87898;89002;90198;91536;93032;94711;96584;98606;100713
Mato Grosso do Sul;45 a 49 anos;81903;83175;84165;85084;86088;87146;88256;89458;90798
Mato Grosso do Sul;50 a 54 anos;68749;71577;74375;76896;78982;80670;81945;82943;83874
Mato Grosso do Sul;55 a 59 anos;54998;57270;59553;61938;64470;67122;69909;72670;75157
Minas Gerais;10 a 14 anos;825734;803039;778310;754540;733829;714832;698284;683352;669451
Minas Gerais;15 a 19 anos;860576;859124;856718;850643;839336;823802;801185;776533;752835
Minas Gerais;20 a 24 anos;867956;864535;861095;858031;855466;853352;852030;849764;843830
Minas Gerais;25 a 29 anos;866673;866697;865232;862962;860356;857440;854217;850961;848087
Minas Gerais;30 a 34 anos;829053;839150;846797;852452;856414;858540;858721;857418;855306
Minas Gerais;35 a 39 anos;743816;759868;778245;795957;811052;823761;833927;841663;847409
Minas Gerais;40 a 44 anos;713440;714001;714933;718683;726683;738612;754671;773028;790729
Minas Gerais;45 a 49 anos;684090;690945;696204;700159;703157;705176;705908;707000;710881
Minas Gerais;50 a 54 anos;609246;624922;639395;652107;662745;671475;678451;683859;687980
Minas Gerais;55 a 59 anos;505020;523756;542220;560136;577276;593608;609172;623562;636235
Pará;10 a 14 anos;414928;411668;407741;403957;400297;398343;396786;394666;391034
Pará;15 a 19 anos;398476;402489;406576;409548;410674;409700;406537;402708;399021
Pará;20 a 24 anos;380038;381713;383554;385785;388480;391758;395870;400057;403129
Pará;25 a 29 anos;364127;367241;369188;370763;372502;374290;376063;377998;380322
Pará;30 a 34 anos;321187;330998;340242;348255;354652;359478;362662;364684;366333
Pará;35 a 39 anos;267326;276877;286833;296935;306964;316884;326695;335948;343981
Pará;40 a 44 anos;223792;230902;238064;245699;254045;263002;272531;282459;292533
Pará;45 a 49 anos;182720;189705;197159;204695;212087;219359;226433;233560;241158
Pará;50 a 54 anos;152069;156539;161064;166015;171613;177834;184739;192104;199554
Pará;55 a 59 anos;122325;127338;132282;137118;141840;146434;150847;155315;160196
Paraíba;10 a 14 anos;172662;170781;168185;165296;162842;160091;156915;154122;151395
Paraíba;15 a 19 anos;176694;175821;174934;173882;172572;171424;169574;167007;164146
Paraíba;20 a 24 anos;176577;175477;174303;173198;172249;171396;170617;169822;168865
Paraíba;25 a 29 anos;170326;171092;171502;171471;170960;170140;169152;168092;167100
Paraíba;30 a 34 anos;158327;160793;162819;164518;165946;167075;167901;168371;168398
Paraíba;35 a 39 anos;139883;143308;147144;150904;154265;157225;159704;161744;163461
Paraíba;40 a 44 anos;130998;131983;132815;134077;136120;138845;142267;146099;149850
Paraíba;45 a 49 anos;117212;120322;123143;125560;127544;129080;130098;130962;132253
Paraíba;50 a 54 anos;96610;100255;104157;107987;111518;114811;117908;120723;123143
Paraíba;55 a 59 anos;82794;84272;86017;88181;90850;93980;97573;101417;105190
Paraná;10 a 14 anos;444372;433251;420123;406932;397077;387667;379995;374616;371604
Paraná;15 a 19 anos;464688;463600;461289;457020;450441;443327;432254;419179;406039
Paraná;20 a 24 anos;457095;459012;461025;462521;463064;462748;461717;459460;455248
Paraná;25 a 29 anos;450346;450512;450420;450691;451676;453195;455191;457287;458864
Paraná;30 a 34 anos;435621;439109;442037;444293;445824;446714;446966;446960;447314
Paraná;35 a 39 anos;411328;415360;420147;424971;429370;433365;436906;439891;442201
Paraná;40 a 44 anos;401413;402080;402262;402978;404857;407811;411912;416761;421647
Paraná;45 a 49 anos;375958;382279;387524;391635;394641;396572;397355;397648;398472
Paraná;50 a 54 anos;324132;334398;344562;354035;362427;369800;376179;381498;385694
Paraná;55 a 59 anos;269538;278650;287676;296935;306584;316519;326742;336867;346314
Pernambuco;10 a 14 anos;414668;407824;399843;392046;385042;378338;372916;368162;363787
Pernambuco;15 a 19 anos;411327;412865;415075;416064;414670;411836;405065;397161;389434
Pernambuco;20 a 24 anos;417489;413316;408751;405177;403401;403249;404934;407287;408420
Pernambuco;25 a 29 anos;408393;410274;411439;411407;409941;407239;403271;398906;395528
Pernambuco;30 a 34 anos;383175;388104;392256;395785;398761;401199;403223;404527;404638
Pernambuco;35 a 39 anos;344431;351464;358911;366119;372662;378506;383520;387760;391377
Pernambuco;40 a 44 anos;315119;319484;323617;328228;333739;340033;347122;354620;361875
Pernambuco;45 a 49 anos;279175;286214;292954;299213;304913;310040;314484;318697;323376
Pernambuco;50 a 54 anos;235592;242892;250455;258027;265430;272659;279727;286498;292795
Pernambuco;55 a 59 anos;197482;202707;208316;214338;220777;227631;234914;242454;250003
Piauí;10 a 14 anos;154344;153030;149875;146366;143719;139691;135986;133272;130165
Piauí;15 a 19 anos;151212;151130;151421;151507;151022;151366;150107;147008;143556
Piauí;20 a 24 anos;152795;150315;147593;145329;143943;143282;143329;143748;143962
Piauí;25 a 29 anos;143096;144033;144821;144929;144050;142422;140126;137589;135506
Piauí;30 a 34 anos;131438;133090;134103;134898;135718;136578;137614;138505;138719
Piauí;35 a 39 anos;111012;114676;118756;122615;125850;128401;130091;131146;131986
Piauí;40 a 44 anos;100937;101623;102358;103633;105737;108598;112260;116335;120191
Piauí;45 a 49 anos;91666;93383;94966;96359;97552;98540;99255;100018;101313
Piauí;50 a 54 anos;79027;81163;83346;85443;87376;89182;90897;92481;93880
Piauí;55 a 59 anos;67502;69128;70720;72407;74260;76242;78350;80505;82577
Rio de Janeiro;10 a 14 anos;638409;617397;594253;574005;557001;543214;534323;527180;520502
Rio de Janeiro;15 a 19 anos;643328;649424;655753;657613;652199;639320;618338;595221;575000
Rio de Janeiro;20 a 24 anos;659552;654332;650214;648096;648337;651064;657036;663240;664981
Rio de Janeiro;25 a 29 anos;704244;697131;688586;680371;673678;667950;662628;658409;656180
Rio de Janeiro;30 a 34 anos;702606;708058;711084;711576;709577;705097;698023;689516;681333
Rio de Janeiro;35 a 39 anos;642022;654545;668250;680865;690886;698600;704125;707228;707806
Rio de Janeiro;40 a 44 anos;609465;611072;613770;618593;626050;635994;648553;662284;674928
Rio de Janeiro;45 a 49 anos;596669;597784;598069;598357;599264;600690;602462;605305;610248
Rio de Janeiro;50 a 54 anos;555206;563969;571259;576983;581160;583900;585252;585782;586311
Rio de Janeiro;55 a 59 anos;474934;489515;503626;516656;528225;538405;547244;554649;560524
Rio Grande do Norte;10 a 14 anos;144077;141288;138352;135523;133740;132444;130941;129588;128654
Rio Grande do Norte;15 a 19 anos;148439;148080;147955;147463;146254;144375;141588;138653;135825
Rio Grande do Norte;20 a 24 anos;155989;154443;152357;150405;148994;148071;147721;147608;147125
Rio Grande do Norte;25 a 29 anos;149731;152114;154077;155301;155617;155052;153531;151469;149541
Rio Grande do Norte;30 a 34 anos;134048;137415;140692;143797;146640;149228;151618;153586;154817
