UF;Ano;Obitos Obs;Prop Incremento
Brasil;2000;1677;
Rondônia;2000;9;
Acre;2000;8;
Amazonas;2000;61;
Roraima;2000;6;
Pará;2000;73;
Amapá;2000;5;
Tocantins;2000;19;
Maranhão;2000;80;
Piauí;2000;44;
Ceará;2000;103;
Rio Grande do Norte;2000;21;
Paraíba;2000;15;
Pernambuco;2000;82;
Alagoas;2000;33;
Sergipe;2000;34;
Bahia;2000;122;
Minas Gerais;2000;132;
Espírito Santo;2000;26;
Rio de Janeiro;2000;197;
São Paulo;2000;275;
Paraná;2000;123;
Santa Catarina;2000;35;
Rio Grande do Sul;2000;83;
Mato Grosso do Sul;2000;15;
Mato Grosso;2000;33;
Goiás;2000;26;
Distrito Federal;2000;17;
Brasil;2001;1577;
Rondônia;2001;10;
Acre;2001;2;
Amazonas;2001;35;
Roraima;2001;5;
Pará;2001;73;
Amapá;2001;8;
Tocantins;2001;16;
Maranhão;2001;93;
Piauí;2001;47;
Ceará;2001;101;
Rio Grande do Norte;2001;14;
Paraíba;2001;19;
Pernambuco;2001;79;
Alagoas;2001;17;
Sergipe;2001;25;
Bahia;2001;146;
Minas Gerais;2001;101;
Espírito Santo;2001;14;
Rio de Janeiro;2001;173;
São Paulo;2001;257;
Paraná;2001;109;
Santa Catarina;2001;37;
Rio Grande do Sul;2001;73;
Mato Grosso do Sul;2001;33;
Mato Grosso;2001;21;
Goiás;2001;55;
Distrito Federal;2001;14;
Brasil;2002;1655;
Rondônia;2002;11;
Acre;2002;6;
Amazonas;2002;43;
Roraima;2002;5;
Pará;2002;71;
Amapá;2002;9;
Tocantins;2002;15;
Maranhão;2002;108;
Piauí;2002;47;
Ceará;2002;93;
Rio Grande do Norte;2002;16;
Paraíba;2002;26;
Pernambuco;2002;70;
Alagoas;2002;26;
Sergipe;2002;28;
Bahia;2002;157;
Minas Gerais;2002;109;
Espírito Santo;2002;24;
Rio de Janeiro;2002;172;
São Paulo;2002;248;
Paraná;2002;95;
Santa Catarina;2002;38;
Rio Grande do Sul;2002;100;
Mato Grosso do Sul;2002;35;
Mato Grosso;2002;27;
Goiás;2002;60;
Distrito Federal;2002;16;
Brasil;2003;1584;
Rondônia;2003;10;
Acre;2003;7;
Amazonas;2003;52;
Roraima;2003;4;
Pará;2003;83;
Amapá;2003;4;
Tocantins;2003;18;
Maranhão;2003;91;
Piauí;2003;34;
Ceará;2003;96;
Rio Grande do Norte;2003;35;
Paraíba;2003;31;
Pernambuco;2003;80;
Alagoas;2003;24;
Sergipe;2003;23;
Bahia;2003;172;
Minas Gerais;2003;112;
Espírito Santo;2003;20;
Rio de Janeiro;2003;158;
São Paulo;2003;208;
Paraná;2003;67;
Santa Catarina;2003;44;
Rio Grande do Sul;2003;90;
Mato Grosso do Sul;2003;31;
Mato Grosso;2003;24;
Goiás;2003;56;
Distrito Federal;2003;10;
Brasil;2004;1641;
Rondônia;2004;6;
Acre;2004;5;
Amazonas;2004;49;
Roraima;2004;1;
Pará;2004;83;
Amapá;2004;5;
Tocantins;2004;14;
Maranhão;2004;97;
Piauí;2004;44;
Ceará;2004;108;
Rio Grande do Norte;2004;18;
Paraíba;2004;22;
Pernambuco;2004;78;
Alagoas;2004;29;
Sergipe;2004;23;
Bahia;2004;161;
Minas Gerais;2004;113;
Espírito Santo;2004;35;
Rio de Janeiro;2004;159;
São Paulo;2004;214;
Paraná;2004;111;
Santa Catarina;2004;37;
Rio Grande do Sul;2004;87;
Mato Grosso do Sul;2004;35;
Mato Grosso;2004;34;
Goiás;2004;53;
Distrito Federal;2004;20;
Brasil;2005;1620;
Rondônia;2005;15;
Acre;2005;8;
Amazonas;2005;39;
Roraima;2005;5;
Pará;2005;86;
Amapá;2005;9;
Tocantins;2005;19;
Maranhão;2005;119;
Piauí;2005;56;
Ceará;2005;115;
Rio Grande do Norte;2005;28;
Paraíba;2005;17;
Pernambuco;2005;70;
Alagoas;2005;32;
Sergipe;2005;19;
Bahia;2005;164;
Minas Gerais;2005;89;
Espírito Santo;2005;28;
Rio de Janeiro;2005;141;
São Paulo;2005;219;
Paraná;2005;106;
Santa Catarina;2005;28;
Rio Grande do Sul;2005;82;
Mato Grosso do Sul;2005;29;
Mato Grosso;2005;45;
Goiás;2005;33;
Distrito Federal;2005;19;
Brasil;2006;1623;
Rondônia;2006;15;
Acre;2006;5;
Amazonas;2006;48;
Roraima;2006;9;
Pará;2006;88;
Amapá;2006;9;
Tocantins;2006;13;
Maranhão;2006;107;
Piauí;2006;45;
Ceará;2006;91;
Rio Grande do Norte;2006;12;
Paraíba;2006;19;
Pernambuco;2006;90;
Alagoas;2006;28;
Sergipe;2006;14;
Bahia;2006;158;
Minas Gerais;2006;87;
Espírito Santo;2006;33;
Rio de Janeiro;2006;164;
São Paulo;2006;246;
Paraná;2006;95;
Santa Catarina;2006;36;
Rio Grande do Sul;2006;84;
Mato Grosso do Sul;2006;33;
Mato Grosso;2006;35;
Goiás;2006;38;
Distrito Federal;2006;21;
Brasil;2007;1590;
Rondônia;2007;10;
Acre;2007;8;
Amazonas;2007;56;
Roraima;2007;12;
Pará;2007;90;
Amapá;2007;8;
